2016-12-22 00:00:19,992 | INFO | (OperationProcessor.java:209) | Pumps stopped by user!
2016-12-22 00:00:20,025 | INFO | (OperationProcessor.java:166) | Received: Sd0v0t244305e1E
2016-12-22 00:00:43,895 | INFO | (OperationProcessor.java:206) | Sent: Sd0v1t001e0E
2016-12-22 00:00:43,928 | INFO | (OperationProcessor.java:166) | Received: Sd0v1t268232e0E
2016-12-22 00:01:05,886 | INFO | (OperationProcessor.java:209) | Pumps stopped by user!
2016-12-22 00:01:05,920 | INFO | (OperationProcessor.java:166) | Received: Sd0v0t290243e1E
2016-12-22 00:01:09,150 | TRACE | (MainGUI.java:242) | [C]: mntmDisconnect
2016-12-22 00:01:09,166 | INFO | (OperationProcessor.java:139) | Disconnected from //./COM2
2016-12-22 00:01:09,166 | INFO | (OperationProcessor.java:144) | IOStream closed.
2016-12-22 08:48:54,310 | INFO | (OperationProcessor.java:76) | Found port: COM2
2016-12-22 08:48:54,320 | INFO | (OperationProcessor.java:80) | COM2 is a serial port. Added.
2016-12-22 08:49:03,770 | TRACE | (MainGUI.java:262) | [C]: mntmConnect
2016-12-22 08:49:03,790 | INFO | (OperationProcessor.java:76) | Found port: COM2
2016-12-22 08:49:03,790 | INFO | (OperationProcessor.java:80) | COM2 is a serial port. Added.
2016-12-22 08:49:04,750 | INFO | (OperationProcessor.java:87) | Connecting to COM2
2016-12-22 08:49:04,792 | INFO | (OperationProcessor.java:97) | Successfully connected to //./COM2
2016-12-22 08:49:04,792 | INFO | (OperationProcessor.java:109) | Opening IOStream.
2016-12-22 08:49:04,792 | INFO | (OperationProcessor.java:115) | IOStream successfully opened.
2016-12-22 08:49:04,792 | INFO | (OperationProcessor.java:126) | Initializing listener.
2016-12-22 08:49:07,522 | INFO | (OperationProcessor.java:206) | Sent: Sd0v1t001e0E
2016-12-22 08:49:07,562 | INFO | (OperationProcessor.java:166) | Received: Sd0v1t1325e0E
2016-12-22 08:50:07,512 | INFO | (OperationProcessor.java:166) | Received: Sd0v1t61326e0E
2016-12-22 08:50:14,642 | INFO | (OperationProcessor.java:209) | Pumps stopped by user!
2016-12-22 08:50:14,682 | INFO | (OperationProcessor.java:166) | Received: Sd0v0t68499e1E
2016-12-22 08:50:18,692 | TRACE | (MainGUI.java:242) | [C]: mntmDisconnect
2016-12-22 08:50:18,742 | INFO | (OperationProcessor.java:139) | Disconnected from //./COM2
2016-12-22 08:50:18,742 | INFO | (OperationProcessor.java:144) | IOStream closed.
2016-12-22 08:53:48,545 | INFO | (OperationProcessor.java:76) | Found port: COM2
2016-12-22 08:53:48,545 | INFO | (OperationProcessor.java:80) | COM2 is a serial port. Added.
2016-12-22 08:53:51,245 | TRACE | (MainGUI.java:262) | [C]: mntmConnect
2016-12-22 08:53:51,255 | INFO | (OperationProcessor.java:76) | Found port: COM2
2016-12-22 08:53:51,255 | INFO | (OperationProcessor.java:80) | COM2 is a serial port. Added.
2016-12-22 08:53:52,295 | INFO | (OperationProcessor.java:87) | Connecting to COM2
2016-12-22 08:53:52,335 | INFO | (OperationProcessor.java:97) | Successfully connected to //./COM2
2016-12-22 08:53:52,335 | INFO | (OperationProcessor.java:109) | Opening IOStream.
2016-12-22 08:53:52,335 | INFO | (OperationProcessor.java:115) | IOStream successfully opened.
2016-12-22 08:53:52,335 | INFO | (OperationProcessor.java:126) | Initializing listener.
2016-12-22 08:53:56,466 | INFO | (OperationProcessor.java:206) | Sent: Sd0v1t001e0E
2016-12-22 08:53:56,506 | INFO | (OperationProcessor.java:166) | Received: Sd0v1t2719e0E
2016-12-22 08:54:56,456 | INFO | (OperationProcessor.java:166) | Received: Sd0v1t62720e0E
2016-12-22 08:55:27,496 | INFO | (OperationProcessor.java:206) | Sent: Sd1v1t001e0E
